new_name	site	original	flag
s05_01.png	S05	2.png	REVIEW
s05_02.png	S05	3.png	REVIEW
s04_01.jpg	S04	4.jpg	
s04_02.png	S04	4.png	
s05_03.png	S05	5.png	
s04_03.png	S04	6.png	REVIEW
s04_04.jpg	S04	SYM Outdoor Vertical.jpg	REVIEW
s04_05.png	S04	Screenshot 2026-03-20 162446.png	REVIEW
s05_04.jpg	S05	g2_01.jpg	
s05_05.png	S05	g2_02.png	
s05_06.jpg	S05	g2_03.jpg	
s05_07.png	S05	g2_04.png	
s05_08.png	S05	g2_05.png	
s05_09.png	S05	g2_06.png	
s05_10.png	S05	g2_07.png	
s04_06.png	S04	g2_08.png	
s04_07.png	S04	g2_09.png	
s04_08.png	S04	g2_10.png	
s04_09.png	S04	g2_11.png	
s05_11.png	S05	g2_12.png	
s05_12.png	S05	g2_13.png	REVIEW
s04_10.png	S04	g2_14.png	
s04_11.png	S04	g2_15.png	
s04_12.png	S04	g2_16.png	
s05_13.png	S05	g2_17.png	
s05_14.png	S05	g2_18.png	
s05_15.png	S05	g2_19.png	
s05_16.png	S05	g2_20.png	
s05_17.png	S05	g2_21.png	
s04_13.png	S04	g2_26.png	
s04_14.png	S04	image 2.png	
s05_18.png	S05	image.png	
s04_15.png	S04	interior.png	REVIEW
s04_16.png	S04	market.png	
